Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;06.07;03.01;04.07;01.05;Iriscolor
2;06.03;02.03;04.04;01.03;Iriscolor
3;05.06;3;04.01;01.03;Iriscolor
4;05.05;02.05;4;01.03;Iriscolor
5;05.05;02.06;04.04;01.02;Iriscolor
6;06.01;3;04.06;01.04;Iriscolor
7;05.08;02.06;4;01.02;Iriscolor
8;5;02.03;03.03;1;Iriscolor
9;05.06;02.07;04.02;01.03;Iriscolor
10;05.07;3;04.02;01.02;Iriscolor
11;05.07;02.06;03.05;1;Iriscolor
12;05.05;02.04;03.08;01.01;Iriscolor
13;05.05;02.04;03.07;1;Iriscolor
14;05.08;02.07;03.09;01.02;Iriscolor
15;6;02.07;05.01;01.06;Iriscolor
16;05.04;3;04.05;01.05;Iriscolor
17;6;03.04;04.05;01.06;Iriscolor
18;05.07;02.09;04.02;01.03;Iriscolor
19;06.02;02.09;04.03;01.03;Iriscolor
20;05.01;02.05;3;01.01;Iriscolor
21;05.07;02.08;04.01;01.03;Iriscolor
22;06.03;03.03;6;02.05;Irisvirginica
23;05.08;02.07;05.01;01.09;Irisvirginica
24;07.01;3;05.09;02.01;Irisvirginica
25;06.03;02.09;05.06;01.08;Irisvirginica
26;06.05;3;05.08;02.02;Irisvirginica
27;07.06;3;06.06;02.01;Irisvirginica
28;04.09;02.05;04.05;01.07;Irisvirginica
29;07.03;02.09;06.03;01.08;Irisvirginica
30;06.07;02.05;05.08;01.08;Irisvirginica
31;07.02;03.06;06.01;02.05;Irisvirginica
32;06.05;03.02;05.01;2;Irisvirginica
33;06.04;02.07;05.03;01.09;Irisvirginica
34;06.08;3;05.05;02.01;Irisvirginica
35;05.07;02.05;5;2;Irisvirginica
36;05.08;02.08;05.01;02.04;Irisvirginica
37;06.04;03.02;05.03;02.03;Irisvirginica
38;06.05;3;05.05;01.08;Irisvirginica
39;07.07;03.08;06.07;02.02;Irisvirginica
40;07.07;02.06;06.09;02.03;Irisvirginica
41;6;02.02;5;01.05;Irisvirginica
42;06.09;03.02;05.07;02.03;Irisvirginica
43;05.06;02.08;04.09;2;Irisvirginica
44;07.07;02.08;06.07;2;Irisvirginica
45;06.03;02.07;04.09;01.08;Irisvirginica
46;06.07;03.03;05.07;02.01;Irisvirginica
47;07.02;03.02;6;01.08;Irisvirginica
48;06.02;02.08;04.08;01.08;Irisvirginica
49;06.01;3;04.09;01.08;Irisvirginica
50;06.04;02.08;05.06;02.01;Irisvirginica
